epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7289,3.79439,3.49877,4.22168,0.00811,0.54478,0.02384,0.00655,3.45371,3.28478,4.15891,2e-05,2e-05,2e-05
2,22.0662,3.48196,3.41611,4.21307,0.00778,0.52239,0.05578,0.01274,3.45341,3.28385,4.15879,5.703e-05,5.703e-05,5.703e-05
3,33.4585,3.59378,3.38377,4.2185,0.00789,0.52985,0.04023,0.00989,3.45272,3.28262,4.15844,9.01e-05,9.01e-05,9.01e-05
4,44.2627,3.639,3.42468,4.17282,0.008,0.53731,0.02744,0.0068,3.45149,3.28112,4.15777,0.00011921,0.00011921,0.00011921
5,54.2552,3.6015,3.34833,4.19599,0.00811,0.54478,0.02676,0.00835,3.44995,3.27875,4.15679,0.00014436,0.00014436,0.00014436
6,64.3187,3.54747,3.30303,4.14626,0.00789,0.52985,0.02139,0.00627,3.44751,3.27614,4.15533,0.00016555,0.00016555,0.00016555
7,74.2692,3.58259,3.24624,4.15753,0.008,0.53731,0.02619,0.00746,3.44481,3.27237,4.15329,0.00018278,0.00018278,0.00018278
8,86.0182,3.34285,3.21947,4.15069,0.008,0.53731,0.03621,0.00976,3.44036,3.26786,4.15056,0.00019605,0.00019605,0.00019605
9,96.8161,3.37205,3.17135,4.11279,0.008,0.53731,0.03096,0.0085,3.43795,3.26605,4.14914,0.00020536,0.00020536,0.00020536
10,107.662,3.38059,3.09991,4.10117,0.008,0.53731,0.02422,0.00777,3.43392,3.2625,4.14673,0.00021071,0.00021071,0.00021071
11,117.868,3.32973,3.05831,4.06475,0.008,0.53731,0.0467,0.01124,3.4291,3.25873,4.14386,0.0002121,0.0002121,0.0002121
12,127.952,3.38352,3.03469,4.05355,0.008,0.53731,0.02813,0.0081,3.42419,3.25443,4.1408,0.00020953,0.00020953,0.00020953
13,137.689,3.34511,3.01402,4.03557,0.00789,0.52985,0.03177,0.00933,3.41907,3.25074,4.13756,0.000203,0.000203,0.000203
14,147.639,3.17825,2.96157,3.99556,0.00822,0.55224,0.02858,0.00855,3.41469,3.24609,4.13439,0.00019251,0.00019251,0.00019251
15,157.483,3.25032,3.07852,4.01783,0.008,0.53731,0.03505,0.00867,3.41034,3.2425,4.13138,0.00017806,0.00017806,0.00017806
16,166.929,3.18456,3.0311,3.97288,0.00789,0.52985,0.03409,0.00999,3.40676,3.23944,4.12874,0.00015965,0.00015965,0.00015965
17,176.314,3.13034,2.91459,3.97117,0.00789,0.52985,0.03675,0.01071,3.40348,3.2358,4.12632,0.00013728,0.00013728,0.00013728
18,185.717,3.14165,2.95415,3.94311,0.00833,0.5597,0.03119,0.01006,3.39883,3.23187,4.12382,0.00011095,0.00011095,0.00011095
19,195.697,3.06463,2.88767,3.94915,0.00833,0.5597,0.03944,0.01109,3.39593,3.22864,4.12185,8.066e-05,8.066e-05,8.066e-05
20,205.036,3.12053,2.88027,3.92259,0.00833,0.5597,0.04081,0.01203,3.39337,3.22462,4.12002,4.641e-05,4.641e-05,4.641e-05
